"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8378","end to end test rahulshettyacademy","chromium","2025-11-25","passed","2025-11-25","","mytest.spec.js","",""
"","6965","end to end test rahulshettyacademy1","chromium","2025-11-25","passed","2025-11-25","","mytest.spec.js","",""
